time_h,D,E,C,H_e,M_t
2.8000000000000003,0.9917723009844989,0.7513238833379358,0.4440721608435944,0.3075098048750329,0.2110537623028202
2.81,0.9875120943400293,0.7399734637990929,0.46711368127569375,0.30179087555518097,0.21182243258280084
2.82,0.9832328302789396,0.7405098477137938,0.4466064903372758,0.2961114550174573,0.21259043637268432
2.83,0.9789351791600593,0.7613157666504311,0.500299621923436,0.290293425895655,0.21338401924119219
2.84,0.9746198042741696,0.7150767938561562,0.45767278480515095,0.28414781779054754,0.21416175963487286
2.85,0.9702873618342579,0.7588852930577662,0.4971417631437379,0.279022298254562,0.2149646151601603
2.86,0.9659385009678426,0.7428282780070733,0.534006387271966,0.27291290510105937,0.2157813918445575
2.87,0.961573863711312,0.708869148801052,0.5267637301425195,0.2674924228130581,0.2165937542376683
2.88,0.9571940850062373,0.733519245179466,0.4943717342825305,0.26161410430294496,0.2174073369041923
2.89,0.9527997926975997,0.7381609342046642,0.49365629097269637,0.25634733252431247,0.21822677302390348
2.9,0.9483916075338973,0.7253056165106633,0.5077053948873683,0.25075281808918193,0.2190532919205426
2.91,0.9439701431690707,0.7124993045034237,0.5296732398689811,0.24511716645311968,0.21988923491574008
2.92,0.9395360061662139,0.6976063563292761,0.5155114224911508,0.23974200132248327,0.22072296164247196
2.93,0.9350897960030151,0.7016149473412603,0.5280735947518632,0.23459224071354665,0.2215664346496103
2.94,0.9306321050788864,0.71380012714952,0.538170455230397,0.22944051866764772,0.22242094175794944
2.95,0.9261635187237393,0.7023694758496273,0.49837260813950046,0.22442848858934264,0.22326580690496287
2.96,0.9216846152083593,0.7406195255049159,0.5315170056274306,0.2193310278383987,0.22413471676569624
2.97,0.917195965756339,0.7210811311447731,0.5362118767384066,0.21446124674626368,0.22500554010197257
2.98,0.9126981345575255,0.6833100209837799,0.5135261792640984,0.20949811028330034,0.22586580481273544
2.99,0.9081916787829416,0.7250093544188063,0.5493221301087131,0.20453435933725314,0.22675200035340012
3.0,0.9036771486011407,0.7205337903390975,0.5238695973816525,0.19937840441198532,0.22763429971147253
3.0100000000000002,0.8991550871959513,0.7148953180746649,0.5336580472020122,0.19386426262173634,0.22852412630226004
3.02,0.8946260307855766,0.7194736464501518,0.5271905837146247,0.18945464524891825,0.22941756738288846
3.0300000000000002,0.8900905086430048,0.7250185982589489,0.5395593145900286,0.18483599254102512,0.23032121256908877
3.04,0.8855490431176981,0.7227788725206663,0.5170172282500808,0.17954792417456086,0.2312225255807755
3.0500000000000003,0.8810021496585131,0.7258664040471485,0.5086011091788507,0.17521002923030798,0.2321263726989861
3.06,0.8764503368378267,0.7224033874792921,0.5283758921659107,0.17013797673626874,0.23304129104728832
3.0700000000000003,0.8718941063768219,0.7187597224977547,0.5200863155594101,0.16495239020628436,0.23395813665880924
3.08,0.8673339531719025,0.7132068894106592,0.5237802545233881,0.16051026624454431,0.23487961747196112
3.09,0.8627703653221992,0.6944446534711005,0.5426953652922283,0.15600217123337387,0.23580746690056056
3.1,0.8582038241581329,0.707456244202153,0.5565427440924089,0.15118890062944343,0.23674836130065519
